Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"An unstructured adaptive mesh refinement for steady flows based on physics-informed neural networks","Residuals-guided adaptive mesh refinement using physics-informed neural networks effectively balances computational accuracy and cost in computational fluid dynamics simulations.","Yongzheng Zhu, Shijie Zhao, Yuanye Zhou, Hong Liang, Xin Bian",2024,9,"","theoretical, modeling, or simulation study","J. Comput. Phys.","1","10.1016/j.jcp.2025.114283","https://consensus.app/papers/an-unstructured-adaptive-mesh-refinement-for-steady-flows-zhu-zhao/6e6c07d900755032aff0f205904fedeb/"
"Adaptive Semi-Structured Mesh Refinement Techniques for the Finite Element Method","Adaptive mesh refinement techniques can improve the quality of triangular prismatic elements in the Finite Element Method, ensuring accurate results.","A. Amor-Martín, L. García-Castillo",2021,11,"The adaptive mesh techniques applied to the Finite Element Method have continuously been an active research line. However, these techniques are usually applied to tetrahedra. Here, we use the triangular prismatic element as the discretization shape for a Finite Element Method code with adaptivity. The adaptive process consists of three steps: error estimation, marking, and refinement. We adapt techniques already applied for other shapes to the triangular prisms, showing the differences here in detail. We use five different marking strategies, comparing the results obtained with different parameters. We adapt these strategies to a conformation process necessary to avoid hanging nodes in the resulting mesh. We have also applied two special rules to ensure the quality of the refined mesh. We show the effect of these rules with the Method of Manufactured Solutions and numerical results to validate the implementation introduced.","theoretical, modeling, or simulation study","Applied Sciences","2","10.3390/app11083683","https://consensus.app/papers/adaptive-semistructured-mesh-refinement-techniques-for-amor-mart%C3%ADn-garc%C3%ADa-castillo/71a7c4a3fa1952a0a89757eb2d440e9b/"
"A Review of Mesh Adaptation Technology Applied to Computational Fluid Dynamics","Mesh adaptation techniques in computational fluid dynamics can improve solution accuracy and reduce computational costs, with recent progress showing promising results in complex cases like transonic compressor blades and film-cooled turbines.","G. Vivarelli, Ning Qin, S. Shahpar",2025,21,"Mesh adaptation techniques can significantly impact Computational Fluid Dynamics by improving solution accuracy and reducing computational costs. In this review, we begin by defining the concept of mesh adaptation, its core components and the terminology commonly used in the community. We then categorise and evaluate the main adaptation strategies, focusing both on error estimation and mesh modification techniques. In particular, we analyse the two most prominent families of error estimation: feature-based techniques, which target regions of high physical gradients and goal-oriented adjoint methods, which aim to reduce the error in a specific integral quantity of interest. Feature-based methods are advantageous due to their reduced computational cost: they do not require adjoint solvers, and they have a natural ability to introduce anisotropy. A substantial portion of the literature relies on second-order derivatives of scalar flow quantities to construct sensors that can be equidistributed to minimise discretisation error. However, when used carelessly, these methods can lead to over-refinement, and they are generally outperformed by adjoint-based techniques when improving specific target quantities. Goal-oriented methods typically achieve higher accuracy in fewer adaptation steps with coarser meshes. It will be seen that various approaches have been developed to incorporate anisotropy into adjoint-based adaptation, including hybrid error sensors that combine feature-based and goal-oriented indicators, sequential strategies and adjoint weighting of fluxes. After years of limited progress, recent work has demonstrated promising results, including certifiable solutions and applications to increasingly complex cases such as transonic compressor blades and film-cooled turbines. Despite these advances, several critical challenges remain: efficient parallelisation, robust geometry integration, application to unsteady flows and deployment in high-order discretisation frameworks. Finally, examples of the potential role of artificial intelligence in guiding or accelerating mesh adaptation are also discussed.","literature review","Fluids","2","10.3390/fluids10050129","https://consensus.app/papers/a-review-of-mesh-adaptation-technology-applied-to-vivarelli-qin/c5108008ae41543cae3bfb4f47a8c561/"
"An efficient Adaptive Mesh Refinement (AMR) algorithm for the Discontinuous Galerkin method: Applications for the computation of compressible two-phase flows","The ForestDG adaptive mesh refinement algorithm improves local resolution and accuracy in compressible two-phase flow computations.","A. Papoutsakis, S. Sazhin, S. Begg, I. Danaila, F. Luddens",2018,41,"","theoretical, modeling, or simulation study","J. Comput. Phys.","1","10.1016/j.jcp.2018.02.048","https://consensus.app/papers/an-efficient-adaptive-mesh-refinement-amr-algorithm-for-papoutsakis-sazhin/685fc6fca2e451979434bc8e15614fe7/"
"Adaptive Mesh Refinement algorithm based on dual trees for cells and faces for multiphase compressible flows","The adaptive mesh refinement method using dual trees simplifies the algorithm and provides efficient results for compressible multiphase flows, with acceptable memory cost.","K. Schmidmayer, F. Petitpas, E. Daniel",2019,41,"","theoretical, modeling, or simulation study","J. Comput. Phys.","1","10.1016/j.jcp.2019.03.011","https://consensus.app/papers/adaptive-mesh-refinement-algorithm-based-on-dual-trees-for-schmidmayer-petitpas/394759e12cc45b77a7413c3bb226a4d2/"
"AMReX: Block-structured adaptive mesh refinement for multiphysics applications","AMReX reduces computational cost and memory footprint while maintaining accurate descriptions of physical processes in complex multiphysics algorithms for applications ranging from accelerator design to wind plant modeling.","Weiqun Zhang, A. Myers, K. Gott, A. Almgren, J. Bell",2020,145,"Block-structured adaptive mesh refinement (AMR) provides the basis for the temporal and spatial discretization strategy for a number of Exascale Computing Project applications in the areas of accelerator design, additive manufacturing, astrophysics, combustion, cosmology, multiphase flow, and wind plant modeling. AMReX is a software framework that provides a unified infrastructure with the functionality needed for these and other AMR applications to be able to effectively and efficiently utilize machines from laptops to exascale architectures. AMR reduces the computational cost and memory footprint compared to a uniform mesh while preserving accurate descriptions of different physical processes in complex multiphysics algorithms. AMReX supports algorithms that solve systems of partial differential equations in simple or complex geometries and those that use particles and/or particle–mesh operations to represent component physical processes. In this article, we will discuss the core elements of the AMReX framework such as data containers and iterators as well as several specialized operations to meet the needs of the application projects. In addition, we will highlight the strategy that the AMReX team is pursuing to achieve highly performant code across a range of accelerator-based architectures for a variety of different applications.","other","The International Journal of High Performance Computing Applications","1","10.1177/10943420211022811","https://consensus.app/papers/amrex-blockstructured-adaptive-mesh-refinement-for-zhang-myers/27a5474f99045e8bb0ab87d594f33414/"
"Exploring a Novel Adaptive Mesh Refinement Strategy for Transonic Flows","A novel adaptive mesh refinement strategy using primitive vector curvature can produce near-grid-independent results for transonic high-speed flows, with less grid required than classic grid refinement.","Arjun J. Vedam, William A. Engblom",2025,2,"A novel Adaptive Mesh Refinement (AMR) strategy is developed and evaluated for transonic high‐speed flows using Ansys Fluent. The algorithm for marking cells for adaptation is designed to systematically reduce local truncation errors based on the curvature of the primitive vector field. The algorithm for marking cells for adaptation is described in sufficient detail to be portable to other flow solvers that offer AMR. The relative importance of each primitive vector variable within the scheme is evaluated using both equal‐weighting and optimized‐weighting approaches. Variations of the proposed algorithm that use flow gradients or limit adaptation regionally are also investigated. The negative consequences of adaptation without enforcing the original smooth surface shape are demonstrated. An equal‐weighted, primitive vector curvature‐based strategy is shown to typically produce near‐grid‐independent results with an order of magnitude less grid required than classic grid refinement.","theoretical, modeling, or simulation study","International Journal for Numerical Methods in Engineering","1","10.1002/nme.70226","https://consensus.app/papers/exploring-a-novel-adaptive-mesh-refinement-strategy-for-vedam-engblom/2907f3b39a7d524d90ce72ec0799a5f7/"
"Enhanced anisotropic block-based adaptive mesh refinement for three-dimensional inviscid and viscous compressible flows","The enhanced anisotropic block-based adaptive mesh refinement algorithm effectively simulates complex three-dimensional inviscid and viscous compressible flows, offering flexibility and efficiency for various flow problems.","L. Freret, Michael Williamschen, C. Groth",2022,13,"","theoretical, modeling, or simulation study","J. Comput. Phys.","1","10.1016/j.jcp.2022.111092","https://consensus.app/papers/enhanced-anisotropic-blockbased-adaptive-mesh-freret-williamschen/1ca859b301335f7b946f66aca92d885a/"
"Non-Conforming Mesh Refinement for High-Order Finite Elements","This paper presents a general algorithm for non-conforming adaptive mesh refinement (AMR) of unstructured meshes in high-order finite element codes, enabling anisotropic refinement of tensor product elements in 2D and 3D, and efficient parallel scaling on 393,000 parallel tasks.","J. Cervený, V. Dobrev, T. Kolev",2019,25,"We propose a general algorithm for non-conforming adaptive mesh refinement (AMR) of unstructured meshes in high-order finite element codes. Our focus is on h-refinement with a fixed polynomial order. The algorithm handles triangular, quadrilateral, hexahedral and prismatic meshes of arbitrarily high order curvature, for any order finite element space in the de Rham sequence. We present a flexible data structure for meshes with hanging nodes and a general procedure to construct the conforming interpolation operator, both in serial and in parallel. The algorithm and data structure allow anisotropic refinement of tensor product elements in 2D and 3D, and support unlimited refinement ratios of adjacent elements. We report numerical experiments verifying the correctness of the algorithms, and perform a parallel scaling study to show that we can adapt meshes containing billions of elements and run efficiently on 393,000 parallel tasks. Finally, we illustrate the integration of dynamic AMR into a high-order Lagrangian hydrodynamics solver.","theoretical, modeling, or simulation study","SIAM J. Sci. Comput.","1","10.1137/18m1193992","https://consensus.app/papers/nonconforming-mesh-refinement-for-highorder-finite-cerven%C3%BD-dobrev/f1fa4c3dc0595290a0a089911dfeefb5/"
"Tetrahedral adaptive mesh refinement for two‐phase flows using conservative level‐set method","This adaptive mesh refinement strategy using tetrahedral adaptive meshes improves the accuracy of two-phase flow simulations and the gravity-driven motion of single bubbles/droplets in a quiescent viscous liquid.","O. Antepara, N. Balcázar, A. Oliva",2020,30,"In this article, we describe a parallel adaptive mesh refinement strategy for two‐phase flows using tetrahedral meshes. The proposed methodology consists of combining a conservative level‐set method with tetrahedral adaptive meshes within a finite volume framework. Our adaptive algorithm applies a cell‐based refinement technique and adapts the mesh according to physics‐based refinement criteria defined by the two‐phase application. The new adapted tetrahedral mesh is obtained from mesh manipulations of an input mesh: operations of refinement and coarsening until a maximum level of refinement is achieved. For the refinement method of tetrahedral elements, geometrical characteristics are taking into consideration to preserve the shape quality of the subdivided elements. The present method is used for the simulation of two‐phase flows, with surface tension, to show the capability and accuracy of 3D adapted tetrahedral grids to bring new numerical research in this context. Finally, the applicability of this approach is shown in the study of the gravity‐driven motion of a single bubble/droplet in a quiescent viscous liquid on regular and complex domains.","theoretical, modeling, or simulation study","International Journal for Numerical Methods in Fluids","1","10.1002/fld.4893","https://consensus.app/papers/tetrahedral-adaptive-mesh-refinement-for-two%E2%80%90phase-flows-antepara-balc%C3%A1zar/5be38090bd8955de8310e5f10d90ab13/"
