Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Accelerating numerical wave propagation using wavefield adapted meshes. Part I: forward and adjoint modelling","Adapting finite-element meshes to the wave's complexity and smoothness can significantly speed up numerical wave propagation, reducing computational costs and improving accuracy.","M. van Driel, C. Böhm, L. Krischer, M. Afanasiev",2019,26,"
 An order of magnitude speed-up in finite-element modelling of wave propagation can be achieved by adapting the mesh to the anticipated space-dependent complexity and smoothness of the waves. This can be achieved by designing the mesh not only to respect the local wavelengths, but also the propagation direction of the waves depending on the source location, hence by anisotropic adaptive mesh refinement. Discrete gradients with respect to material properties as needed in full waveform inversion can still be computed exactly, but at greatly reduced computational cost. In order to do this, we explicitly distinguish the discretization of the model space from the discretization of the wavefield and derive the necessary expressions to map the discrete gradient into the model space. While the idea is applicable to any wave propagation problem that retains predictable smoothness in the solution, we highlight the idea of this approach with instructive 2-D examples of forward as well as inverse elastic wave propagation. Furthermore, we apply the method to 3-D global seismic wave simulations and demonstrate how meshes can be constructed that take advantage of high-order mappings from the reference coordinates of the finite elements to physical coordinates. Error level and speed-ups are estimated based on convergence tests with 1-D and 3-D models.","theoretical, modeling, or simulation study","Geophysical Journal International","1","10.31223/osf.io/43ydf","https://consensus.app/papers/accelerating-numerical-wave-propagation-using-wavefield-driel-b%C3%B6hm/1e238e7e9a635bb586ef6711c1ea2ba9/"
"Accelerating numerical wave propagation by wavefield adapted meshes. Part II: full-waveform inversion","Wavefield adapted meshes in full-waveform inversion can significantly reduce computational costs compared to conventional approaches, with smooth medium variations enabling significant computational savings.","Solvi Thrastarson, M. van Driel, L. Krischer, C. Boehm, M. Afanasiev, Dirk Philip van Herwaarden, A. Fichtner",2019,33,"
 We present a novel full-waveform inversion (FWI) approach which can reduce the computational cost by up to an order of magnitude compared to conventional approaches, provided that variations in medium properties are sufficiently smooth. Our method is based on the usage of wavefield adapted meshes which accelerate the forward and adjoint wavefield simulations. By adapting the mesh to the expected complexity and smoothness of the wavefield, the number of elements needed to discretize the wave equation can be greatly reduced. This leads to spectral-element meshes which are optimally tailored to source locations and medium complexity. We demonstrate a workflow which opens up the possibility to use these meshes in FWI and show the computational advantages of the approach. We provide examples in 2-D and 3-D to illustrate the concept, describe how the new workflow deviates from the standard FWI workflow, and explain the additional steps in detail.","other","Geophysical Journal International","1","10.31223/osf.io/v58cm","https://consensus.app/papers/accelerating-numerical-wave-propagation-by-wavefield-thrastarson-driel/e41ec6b601c050fa8085ca898902f2fd/"
"A Full-Waveform Inversion with Adaptive Spatial Resolution Using a Mesh-Free Finite Difference Method","The proposed adaptive refinement technique improves computational efficiency and accuracy in full-waveform inversion, making it an alternative to conventional methods.","J. Takekawa, H. Mikada",2016,0,"We developed a novel method to improve the computational efficiency of full-waveform inversion (FWI). FWI has drawn more and more attention in many scientific and engineering fields because quantitative information and high-resolved imaging can be obtained. One of the shortcomings of FWI is its high computational costs both the computational memory and calculation time. We tackle this problem by introducing an adaptive refinement technique of the spatial resolution. The method is based on a mesh-free finite difference method, which is one of the true mesh-free methods. In our strategy, the spatial resolution is refined based on a velocity model in a simple manner, i.e. a calculation point located in a low velocity zone is divided into smaller ones to provide higher resolution. The procedure is conducted during nonlinear inversion analysis adaptively. This strategy can avoid the numerical dispersion without additional complex processes, for example, the mesh generation procedure in finiteelement methods. We examine the effectiveness and efficiency of the proposed method using numerical experiments. Our result shows that the method can obtain the accurate velocity structure successfully with the local refinement technique. Our inversion result shows good agreement with that of the conventional finite difference method. We also compare the computational costs of the method with those of the conventional finite-difference method. The numerical experiments indicate that the proposed method can be an alternative to the conventional methods.","theoretical, modeling, or simulation study","Shigen-to-sozai","","10.2473/journalofmmij.132.152","https://consensus.app/papers/a-fullwaveform-inversion-with-adaptive-spatial-takekawa-mikada/1ad5271f71155b90a515ccd1ccbee01a/"
"Full waveform inversion using triangular waveform adapted meshes","Triangular meshes adapted to the material properties can reduce the number of degrees-of-freedom needed for seismic velocity model building.","K. J. Roberts, Alexandre Olender, L. Franceschini, R. Kirby, R. Gioria, B. Carmo",2021,2,"In this article, continuous Galerkin finite elements are applied to perform full waveform inversion (FWI) for seismic velocity model building. A time-domain FWI approach is detailed that uses meshes composed of variably sized triangular elements to discretize the domain. To resolve both the forward and adjoint-state equations, and to calculate a mesh-independent gradient associated with the FWI process, a fully-explicit, variable higher-order (up to degree k = 5 in 2D and k = 3 in 3D) mass lumping method is used. By adapting the triangular elements to the expected peak source frequency and properties of the wavefield (e.g., local P-wavespeed) and by leveraging higherorder basis functions, the number of degrees-of-freedom necessary to discretize the domain can be reduced. Results from wave simulations and FWIs in both 2D and 3D highlight our developments and demonstrate the benefits and challenges with using triangular meshes adapted to the material proprieties. Software developments are implemented an open source code built on top of Firedrake, a high-level Python package for the automated solution of partial differential equations using the finite element method.","theoretical, modeling, or simulation study","ArXiv","","10.48550/arxiv.2108.10946","https://consensus.app/papers/full-waveform-inversion-using-triangular-waveform-roberts-olender/25db8cc38c4a5dc4af77086896294964/"
"Velocity model-based adapted meshes using optimal transport","The r-adaptivity method adapts two-dimensional seismic velocity field meshes to complex geological properties, generating good-shaped meshes and preventing tangled elements in geophysical numerical models.","Thiago Dias dos Santos, Alexandre Olender, Daiane I. Dolci, Bruno S. Carmo",2024,0,"In geophysical numerical models using the finite-element method or its variant, the spectral-element method, to solve seismic wave equations, a mesh is employed to discretize the domain. Generating or adapting a mesh to complex geological properties is a challenging task. To tackle this challenge, we develop an r-adaptivity method to generate or adapt a two-dimensional mesh to a seismic velocity field. Our scheme relies on the optimal transport theory to perform vertices relocation, which generates good-shaped meshes and prevents tangled elements. The mesh adaptation can delineate different regions of interest, like sharp interfaces, salt bodies, and discontinuities. The algorithm has a few user-defined parameters that control the mesh density. With typical seismic velocity examples (e.g., Camembert, SEAM Phase, Marmousi-2), mesh adaptation capability is illustrated within meshes with triangular and quadrilateral elements, commonly employed in seismic codes. Besides its potential use in mesh generation, the method developed can be embedded in seismic inversion workflows like multiscale full waveform inversion to adapt the mesh to the field being inverted without incurring the I/O cost of re-meshing and load rebalancing in parallel computations. The method can be extended to three-dimensional meshes.","theoretical, modeling, or simulation study","GEOPHYSICS","1","10.1190/geo2023-0581.1","https://consensus.app/papers/velocity-modelbased-adapted-meshes-using-optimal-santos-olender/fb48468fa85e5edd8d67e45945e0422c/"
"Accurate 3D frequency-domain seismic wave modeling with the wavelength-adaptive 27-point finite-difference stencil: a tool for full waveform inversion","The wavelength-adaptive 27-point finite-difference stencil provides higher accuracy in 3D seismic wave modeling compared to non-adaptive ones, making it a valuable tool for full waveform inversion.","H. Aghamiry, A. Gholami, L. Combe, S. Operto",2021,14,"Efficient frequency-domain Full Waveform Inversion (FWI) of long-offset node data can be performed with a few frequencies. The seismic response of these frequencies can be computed with compact finite-difference stencils on regular Cartesian grid with direct or hybrid direct/iterative methods. Compactness, which is necessary to mitigate the fill-in induced by the Lower-Upper (LU) factorization, is implemented with second-order stencils while accuracy is achieved by building a consistent mass matrix and a compound stiffness matrix with optimal weights so that the stencil covers the eight cells surrounding the central point, leading to a 27-point stencil. Classical approaches estimate constant weights by jointly minimizing numerical dispersion in homogeneous media for several numbers of grid points per wavelength ( G). Then, the impedance matrix is built by using these constant weights at each central point covering the heterogeneous subsurface model, leading to non-uniform wavefield accuracy. Instead, we estimate G-dependent weights once and for all by minimizing dispersion separately for each value of 1/ G in a range found in FWI applications. Then, we build the impedance matrix without computational overhead by selecting at each central point the weights corresponding to the local 1/ G, hence leading to a wavelength-adaptive stencil. This separate approach with adaptive weights makes wavefield accuracy uniform.We benchmark wavefields, which are computed in several 3D large-scale subsurface models with a sparse multifrontal direct solver and the non-adaptive/adaptive stencils, against analytical solutions when available and the highly accurate discretization-free convergent Born series (CBS) method. Each benchmark reveals the higher accuracy of the adaptive stencil relative to the non-adaptive one. In the presence of sharp contrasts, the adaptive stencil is also more accurate than a classical O(Δ t2,Δ h8) finite-different time-domain staggered-grid stencil. The relevance of the adaptive stencil is finally illustrated with a 3D FWI case study in the 3.5–13 Hz frequency ba","theoretical, modeling, or simulation study","ArXiv","1","10.1190/geo2021-0606.1","https://consensus.app/papers/accurate-3d-frequencydomain-seismic-wave-modeling-with-aghamiry-gholami/7a65cdf71608547795d982d695c970e8/"
"An adaptive meshless parameterization for full waveform inversion","The adaptive meshless parameterization methodology improves full waveform inversion by representing complex velocity models, reducing unknowns, and prioritizing smooth images.","F. Peters, Edivaldo Figueiredo Fontes Junior, W. Mansur, D. Filho, C. S. G. Monteiro, P. Carvalho",2017,2,"","theoretical, modeling, or simulation study","Engineering Analysis With Boundary Elements","1","10.1016/j.enganabound.2017.07.006","https://consensus.app/papers/an-adaptive-meshless-parameterization-for-full-waveform-peters-junior/7001419f30bb5bfba3a5e449bc7656bc/"
"An adaptive unstructured mesh based solution to topography
least-squares reverse-time imaging","Our unstructured mesh-based solution effectively tackles the challenge of LSRTM in rugged topography, resulting in better broadband-wavenumber reflectivity images.","Qiancheng Liu, Jianfeng Zhang",2019,0,"Abstract. Least-squares reverse-time migration (LSRTM) attempts to invert for the broadband-wavenumber reflectivity image by minimizing the residual between observed and predicted seismograms via linearized inversion. However, rugged topography poses a challenge in front of LSRTM. To tackle this issue, we present an unstructured mesh-based solution to topography LSRTM. As to the forward/adjoint modeling operators in LSRTM, we take a so-called unstructured mesh-based “grid method”. Before solving the two-way wave equation with the grid method, we prepare for it a velocity-adaptive unstructured mesh using a Delaunay Triangulation plus Centroidal Voronoi Tessellation (DT-CVT) algorithm. The rugged topography acts as constraint boundaries during mesh generation. Then, by using the adjoint method, we put the observed seismograms to the receivers on the topography for backward propagation to produce the gradient through the cross-correlation imaging condition. We seek the inverted image using the conjugate gradient method during linearized inversion to linearly reduce the data misfit function. Through the 2D SEG Foothill synthetic dataset, we see that our method can handle the LSRTM from rugged topography.
","theoretical, modeling, or simulation study","Solid Earth Discussions","","10.5194/se-2019-37","https://consensus.app/papers/an-adaptive-unstructured-mesh-based-solution-to-liu-zhang/65bbbb4900d1539e96efbdfa35a16f84/"
"Topography Least-Squares Reverse-Time Migration Based on Adaptive Unstructured Mesh","Our unstructured mesh-based solution effectively tackles the challenge of LSRTM in rugged topography, resulting in a better inverted image.","Qiancheng Liu, Jianfeng Zhang",2019,2,"Least-squares reverse-time migration (LSRTM) attempts to invert the broadband-wavenumber reflectivity image by minimizing the residual between observed and predicted seismograms via linearized inversion. However, rugged topography poses a challenge in front of LSRTM. To tackle this issue, we present an unstructured mesh-based solution to topography LSRTM. As to the forward/adjoint modeling operators in LSRTM, we take a so-called unstructured mesh-based “Grid Method.” Before solving the two-way wave equation with the Grid Method, we prepare for it a velocity-adaptive unstructured mesh using a Delaunay Triangulation plus Centroidal Voronoi Tessellation algorithm. The rugged topography acts as constraint boundaries during mesh generation. Then, by using the adjoint method, we put the observed seismograms to the receivers on the topography for backward propagation to produce the gradient through the cross-correlation imaging condition. We seek the inverted image using the conjugate gradient method during linearized inversion to linearly reduce the data misfit function. Through the 2D SEG Foothill synthetic dataset, we see that our method can handle the LSRTM from rugged topography.","theoretical, modeling, or simulation study","Surveys in Geophysics","1","10.1007/s10712-019-09578-0","https://consensus.app/papers/topography-leastsquares-reversetime-migration-based-on-liu-zhang/e746c494b6555eaeb0471bee57119b39/"
"Reverse time migration via frequency-adaptive multiscale spatial grids","The frequency-adaptive multiscale spatial grid improves reverse time migration efficiency without sacrificing accuracy, allowing for faster computation without sacrificing image quality.","Yongchae Cho, Richard L. Gibson Jr.",2018,5,"Reverse time migration (RTM) is widely used because of its ability to recover complex geologic structures. However, RTM also has a drawback in that it requires significant computational cost. In RTM, wave modeling accounts for the largest part of the computing cost for calculating forward- and backward-propagated wavefields before applying an imaging condition. For this reason, we have applied a frequency-adaptive multiscale spatial grid to enhance the efficiency of the wave simulations. To implement wave modeling for different values of the spatial grid interval, we apply a model reduction technique, the generalized multiscale finite-element method (GMsFEM), which solves local spectral problems on a fine grid to simulate wave propagation on a coarser grid. We can enhance the speed of computation without sacrificing accuracy by using coarser grids for lower frequency waves, while applying a finer grid for higher frequency waves. In the proposed method, we can control the size of the coarse grid and level of heterogeneity of the wave solutions to tune the trade-off between speedup and accuracy. As we increase the expected level of complexity of the wave solutions, the GMsFEM wave modeling can capture more detailed features of waves. After computing the forward and backward wavefield on the coarse grid, we reproject the coarse wave solutions to the fine grid to construct the RTM gradient image. Although wave solutions are computed on a coarse grid, we still obtain the RTM images without reducing the image resolution by projecting coarse wave solutions to the fine grid. We determine the efficiency of the proposed imaging method using the Marmousi-2 model. We compare the RTM images using GMsFEM with a fixed coarse mesh and a multiple frequency-adaptive coarse meshes to indicate the image quality and computational speed of the new approach.","theoretical, modeling, or simulation study","GEOPHYSICS","1","10.1190/segam2018-2988676.1","https://consensus.app/papers/reverse-time-migration-via-frequencyadaptive-multiscale-cho-jr/26fe159b2d5d507db22f56daba1e06db/"
